URL,Bug Type,Language,Component,Framework,Root Cause,Effect,Rational,Accepted Answer
https://discuss.huggingface.co/t/automodelforcausallm-to-huggingfacellm/73159,Argument Bug (AB),Python,Agent Core,LlamaIndex,Component Mismatch (CM),Crash,"BT: From the code and error log, it looks like that the user passed incorrect LLM type. 
RC: Passed wrong LLM type 
ET:  Throws AttributeError",False
https://discuss.huggingface.co/t/issue-with-llama-2-chat-template-and-out-of-date-documentation/61645,API Bug (APIB),Python,Agent Core,Custom,API Limitation (AL),Empty Response (ER),"BT: We’ve been able to reproduce the issue here.
RC: Bug in the library
ET: Returns empty string/list",True
https://discuss.huggingface.co/t/facing-an-error-while-loading-hf-embeddings-in-llamaindex/73895,API Bug (APIB),Python,Other,Custom,Others,Crash,"BT: Incorrectly installed API
RC:  User's environment issue 
ET: Throws error: RuntimeError: Failed to import transformers.models.bert.modeling_bert
ER: I fixed my problems by completely reinstalling into a new venv
https://github.com/zylon-ai/private-gpt/issues/283",False
https://discuss.huggingface.co/t/using-a-paid-inference-end-point-to-query-llamaindex-knowledge-graph-gives-worse-results-than-the-free-inference-api/75152,Reference Bug (RB),Python,Agent Core,Custom,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Incorrect Output (IO),"BT: A recent update to llama index requires you to call it like this:
from llama_index.llms.huggingface import HuggingFaceInferenceAPI
RC: Incorrect flow of importing module
ET: Returns poor results",True
https://discuss.huggingface.co/t/modulenotfounderror-no-module-named-huggingface-hub-inference-types/132503,Reference Bug (RB),Python,Agent Core,Custom,Requirement Violation (RV),Crash,"BT: Reffered to wrong API version
RC: Wrong API version installed 
ET: Throws ModuleNotFoundError
ER: In v0.24.0 the _types module exists. It was removed in v0.25.0.
https://stackoverflow.com/questions/79298879/modulenotfounderror-no-module-named-huggingface-hub-inference-types",False
https://discuss.huggingface.co/t/forcing-offline-mode-for-hugging-face-embeddings-in-docker-container-is-slow/161547,System Limitation Bug (SLB),Python,Other,Custom,Others,Slow Output (SO),"BT: From the post and reply, it is clear that the user us using 16GB VRAM which is not sufficient 
RC: User's system issue
ET: Thre respose is slow. ",False
https://discuss.huggingface.co/t/codeagent-search-results-dont-match-lesson-output-in-smolagents-ai-agents-course/164603,Logic Bug (LB),Python,Tools,Langchain,API Misuse-Wrong API Context (AM.WAC),Incorrect Output (IO),"BT: The smolagents search tool has been significantly updated, so its behavior may have changed.
RC: Incorrect understanding about the updated smolagents tool
ET: Output does not match the expectation",True
https://discuss.huggingface.co/t/langchain-sentencetransformerembeddings-error-while-passing-the-embeded-function-to-chromadb/80379,Reference Bug (RB),Python,Tools,Langchain,Requirement Violation (RV),Crash,"BT: Refered wrong version
RC: Inorrect chroma version installed
ET: Since version 0.4.16(?), Chroma requires an embedding model that defines a __call__() method that returns list of embeddings.
https://stackoverflow.com/questions/77925185/valueerror-expected-embeddingfunction-call-to-have-the-following-signature",False
https://discuss.huggingface.co/t/error-using-pydantic-with-langchain-and-local-model-by-hugging-face-for-structured-output/97672,Parsing Bug (PRB),Python,Tools,Langchain,Incorrect or Missing Control Flow-Missing Flow (IMCF.MF),Crash,"BT: Missed implementing parsing LLM output
RC: Did not parse LLM output correctly
ET:  Throws OutputParserException
ER: By introducing below code, json parsing works.
https://stackoverflow.com/questions/77396803/langchain-schema-output-parser-outputparserexception-got-invalid-json-object-e",False
https://discuss.huggingface.co/t/unable-to-import-langchain/109310,API Bug (APIB),Typescript,Agent Core,LangChain-js,API Limitation (AL),Crash,"BT: It seems that up to a certain point there was a bug in the LangChain library
RC: Bug in the library
ET: Throws error: Cannot find module",True
https://discuss.huggingface.co/t/strange-outputs-in-mixtral-model/73628,Configuration Bug (CB),Python,Agent Core,Custom,Incorrect or Missing Parameter Value-Missing Value (IMP.MV),Incorrect Output (IO),"BT: Pipeline incorrectly configured
RC: Missing chat template
ET: Getting unexpected output",True
https://discuss.huggingface.co/t/how-to-stop-llm-from-going-up-to-the-max-token-limit/108587,Model Bug (MB),Python,Agent Core,Langchain,API Limitation (AL),Incorrect Output (IO),"BT: The Llama3 model has a major bug 
RC: Wrong LLM component used
ET: Generated response is incorrect",True
https://discuss.huggingface.co/t/typeerror-when-importing-google-generativeai-to-use-palm-api/42785,API Bug (APIB),Python,Agent Core,Custom,API Limitation (AL),Crash,"BT: Solved it by manually editing the module with code pulled from Google’s Github
RC:  Module not suitable for the use case
ET: Throws TypeError",True
https://discuss.huggingface.co/t/how-to-implement-bind-tools-to-custom-llm-from-huggingface-pipeline-llama-3-for-a-custom-agent/95545,Model Bug (MB),Python,Planning,Langchain,Component Mismatch (CM),Tool Ignored (TI),"BT: From the post, is is poriminent that the LLM used is not capable enough for this task
RC: Wrong LLM component used
ET: Does not execute the function",False
https://discuss.huggingface.co/t/getting-additional-response-from-my-rag-using-huggingfaceendpoint-inference/145964,Prompting Bug (PPB),Python,Agent Core,Langchain,Incorrect Instruction-Prompt Construction (II.PC),Incorrect Output (IO),"BT: This is the prompt that helped give output without additional response 
RC: Incorrect prompt written
ET: Getting extra text in the output",True
https://discuss.huggingface.co/t/how-to-implement-few-shot-prompting-in-llama-2-chat-model/66140,Prompting Bug (PPB),Python,Agent Core,Custom,Incorrect Instruction-Prompt Construction (II.PC),Unknown,"BT: Did not add add examples FewShotChatMessagePromptTemplate
RC: Prompt missing examples
ET: Not specified",True
https://discuss.huggingface.co/t/no-sentence-transformers-model-found-with-name-sentence-transformers-all-minilm-l6-v2-creating-a-new-one-with-mean-pooling/149399,Reference Bug (RB),Python,Tools,Langchain,Requirement Violation (RV),Crash,"BT: It seems that the class is deprecated in the current LangChain.
RC: Incorrect version used
ET: Throws NameError",True
https://discuss.huggingface.co/t/i-am-getting-this-error-on-langchain/139867,API Bug (APIB),Python,Agent Core,Langchain,Requirement Violation (RV),Crash,"BT: It seems that the function has been discontinuedIt seems that the function has been discontinued
RC: Wrong (depricated) module used
ET: Throws ValueError",True
https://discuss.huggingface.co/t/pipeline-cannot-infer-suitable-model-classes-from-model-name/42776,Availability Bug (AVB),Python,Agent Core,Langchain,API Limitation (AL),Crash,"BT: PEFT/Lora-finetuned model does not contain the full model in the hub
RC: Used API is not complete
ET: Throws Pipeline cannot infer suitable model classes from: <model_name>",True
https://discuss.huggingface.co/t/sentencesimilarityinputscheck-expected-dict-not-list-root-in-parameters/39715,Argument Bug (AB),Python,Tools,Custom,API Misuse-Invalid API Arguments (AM.IAA),Crash,"BT: Passed single input instead of paired one
RC: Invalid arguments passed
ET: Throws error: SentenceSimilarityInputsCheck expected dict not list: `__root__` in `parameters`",True
https://discuss.huggingface.co/t/sagemaker-model-generates-incomplete-responses-or-even-completely-random-output/87994,Argument Bug (AB),Python,Planning,Langchain,Incorrect or Missing Parameter Value-Missing Value (IMP.MV),Incorrect Output (IO),"BT: From the code, it looks like the stop parameter not addeed in model parameters
RC: Missed stop parameters
ET: The model starts to randomly generate unhelpful text",False
https://discuss.huggingface.co/t/gradio-error-attributeerror-str-object-has-no-attribute-index-store/38737,Argument Bug (AB),Python,Tools,LlamaIndex,API Misuse-Invalid API Arguments (AM.IAA),Crash,"BT: Passed incorrect argument to load_index_from_storage
RC: load_index_from_storage got string instead of storage_context
ET: Throws AttributeError
ER: index = load_index_from_storage(storage_context)
https://docs.llamaindex.ai/en/stable/understanding/storing/storing/",False
https://discuss.huggingface.co/t/we-are-facing-the-above-error-i-give-code-please-debug-the-code-to-correct-manner/76365,API Bug (APIB),Python,Agent Core,Langchain,Requirement Violation (RV),Crash,"BT: Wrong API version installed
RC: The installed library has issues
ET: Throws error: RuntimeError: Failed to import transformers.models.blip.modeling_tf_blip because of the following error (look up to see its traceback):
ER: Maybe the issue is because of keras 3 which is the default since tf 2.16. suggest trying out with lower tf version.
https://discuss.huggingface.co/t/failed-to-import-transformers-models/43315/6",False
https://discuss.huggingface.co/t/llama-2-download-issues/48731,API Bug (APIB),Python,Agent Core,Langchain,API Limitation (AL),Crash,"BT: Llama 2 doesn’t seem to support the Inference API
RC: Requested functionality not supported
ET: Throws ValueError",True
https://discuss.huggingface.co/t/getting-error-attributeerror-inferenceclient-object-has-no-attribute-post/156682,API Bug (APIB),Python,Agent Core,Langchain,API Limitation (AL),Crash,"BT: Ongoing issue.  but Sentence Ranking tasks are not implemented opened  May 6, 2025   marr75 bug
RC: Bug in langchain Library
ET: Throws AttributeError",True
https://discuss.huggingface.co/t/huggingfaceendpoint-denies-the-token/103823,API Bug (APIB),Python,Other,Custom,Others,Crash,"BT: The root problem was : “Blocking call to socket.socket.connect Heads up! LangGraph dev identified a synchronous blocking call in your code.
RC: Not related to LLM agent
ET: Throws error: Could not authenticate with huggingface_hub",True
https://discuss.huggingface.co/t/typeerror-unhashable-type-list-when-trying-to-create-a-knowledge-graph-from-a-list-of-documents-using-convert-to-graph-documents/110955,Parsing Bug (PRB),Python,Tools,Langchain,Incorrect Data Format-Output Data (IDF.OD),Crash,"BT: LLM's output not parsed correctly
RC: LLM's output is not consistent with LLMGraphTransformer 
ET: Throws TypeError
ER: You can use the code given below!
https://github.com/langchain-ai/langchain/issues/25931",False
https://discuss.huggingface.co/t/valueerror-code-none-message-modelmetaclass-object-argument-after-must-be-a-mapping-not-str/133115,Logic Bug (LB),Python,Tools,Langchain,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Crash,"BT: From the error log, it is clear that the user is trying to access string as a dictionanry
RC: Incorrect flow of accessing string
ET: Throws ValueError",False
https://discuss.huggingface.co/t/pydanticusererror-the-modify-schema-method-is-not-supported-in-pydantic-v2-use-get-pydantic-json-schema-instead-in-class-secretstr/136780,API Bug (APIB),Python,Agent Core,LlamaIndex,Requirement Violation (RV),Crash,"BT: It seems to be an issue of incompatibility between versions of pydantic.
RC: Incorrect pydantic version used
ET: Throws PydanticUserError",True
https://discuss.huggingface.co/t/huggingface-infernece-endpoint-dont-work/162765,Configuration Bug (CB),Python,Agent Core,Langchain,Incorrect or Missing Parameter Value-Incorrect Value (IMP.IV),Crash,"BT: From the code, it looks like the hf endpoint is incorrect
RC: Incorrect value passed to the endpoint
ET: Throws  404 Error",False
https://discuss.huggingface.co/t/streaming-langgraph-with-huggingfacepipeline/142193,API Bug (APIB),Python,Agent Core,Langchain,API Limitation (AL),Crash,"BT: It’s probably an unsolved issue.
RC: Bug in the library
ET: Throws NotImplementedError",True
https://discuss.huggingface.co/t/cannot-copy-out-of-meta-tensor-no-data/128996,API Bug (APIB),Python,Agent Core,Langchain,API Limitation (AL),Crash,"BT: It’s probably an unsolved issue.
RC: Bug in the library
ET: Throws NotImplementedError",True
https://discuss.huggingface.co/t/cant-load-huggingface-model-clip-on-subprocess/136463,Logic Bug (LB),Python,Agent Core,Langgraph,API Limitation (AL),Output Dump (OD),"BT: If you’re implementing your own class and generate method, I’d recommend first initializing a HuggingFacePipeline instance
RC: graph.stream method does not support streaming
ET: Instead of streaming, the graph API buffers the output",True
https://discuss.huggingface.co/t/unexpected-output-from-official-llama-3-2-11b-vision-instruct-example-code/114925,API Bug (APIB),Python,Agent Core,Custom,API Limitation (AL),Incorrect Output (IO),"BT: It seemed that the issue has been resolved and ‘chat_template.json’ has been updated
RC: Issue in the repository
ET: Returns unexpected response",True
https://discuss.huggingface.co/t/no-module-named-langchain/74807,System Limitation Bug (SLB),Python,Other,Langchain,Others,Crash,"BT: I had textwrap in the requirements text file that was causing all the problem
RC: User's issue. Not related to LLM
ET: Throws error: No module named ‘langchain’",True
https://discuss.huggingface.co/t/index-error-while-summarizing-splitted-documents/109636,Argument Bug (AB),Python,Tools,Langchain,Incorrect Data Format-Input Data (IDF.ID),Crash,"BT: When you get that error, it is often because the data itself has not been retrieved and is empty, or because you have written [ or ( in the wrong way.
RC: Input data is longer than expected size
ET: Throws Index Error",True
https://discuss.huggingface.co/t/rag-llm-generating-the-prompt-also-at-the-response/75221,API Bug (APIB),Python,Tools,Langchain,Requirement Violation (RV),Incorrect Output (IO),"BT: The only solution that I had was to downgrade LangChain to the version 0.1.6.
RC: Incorrecct library version used
ET:  LLM is attaching the entire prompt and relevant document at the output",True
https://discuss.huggingface.co/t/inference-with-hugging-face-pipeline-happening-on-cpu-even-if-model-is-loaded-on-gpu/41415,Configuration Bug (CB),Python,Agent Core,LlamaIndex,Incorrect or Missing Parameter Value-Missing Value (IMP.MV),Slow Output (SO),"BT: From the code, it is clear that tokenizer and other parts are running on CPU (because of default parameter)
RC: Some components are set to CPU mode
ET: Running on CPU instead of GPU",False
https://discuss.huggingface.co/t/using-huggingface-embeddings-completely-locally/70837,API Bug (APIB),Python,Tools,Langchain,API Limitation (AL),Crash,"BT:  There are two opened issues at langchain github about it
RC: Issue in the library end
ET:  Throws: loading jinja_embeddings requires to ",True
https://discuss.huggingface.co/t/incomplete-partial-response-generation/57739,Configuration Bug (CB),Python,Agent Core,Custom,Incorrect or Missing Parameter Value-Missing Value (IMP.MV),Partial Output (PO),"BT: It was because the max_new_tokens is 20 by default.
RC: Did not set max_new_tokens
ET: Returns incomplete response",True
https://discuss.huggingface.co/t/504-timeout-when-using-flan-ul2/100767,Availability Bug (AVB),Python,Agent Core,Langchain,API Limitation (AL),Crash,"BT: HF is unavailable
RC: HF server is down
ET: Throws 504 Server Error
ER:  it’s a server error or maintenance at HF.
https://discuss.huggingface.co/t/504-gateway-time-out/107971",False
https://discuss.huggingface.co/t/cublas-error-13-when-running-code-with-langchain-llms-on-gpu/85445,API Bug (APIB),Python,Agent Core,Langchain,API Limitation (AL),Crash,"BT: Issue in the library
RC: API ussue. 
ET: Throws cuBLAS error
ER: We've fixed a number of CUDA related integration issues.
https://github.com/ollama/ollama/issues/1649",False
https://discuss.huggingface.co/t/typeerror-text-generation-got-an-unexpected-keyword-argument-token/165778,Argument Bug (AB),Python,Agent Core,Langchain,API Misuse-Invalid API Arguments (AM.IAA),Crash,"BT: Invalid parameter, token, passed to HuggingFaceEndpoint
RC: HuggingFaceEndpoint received incorrect parameter
ET:  Throws TypeError
ER: llm = HuggingFaceEndpoint(
... huggingfacehub_api_token=""my-api-key"")
https://python.langchain.com/api_reference/huggingface/llms/langchain_huggingface.llms.huggingface_endpoint.HuggingFaceEndpoint.html",False
https://discuss.huggingface.co/t/faiss-vector-database-not-saving-in-local/88684,System Limitation Bug (SLB),Python,Other,Custom,Others,Silent Fail (SF),"BT: From the code, it looks like DB_FAISS_PATH is likely not present
RC: User's issue. Not related to LLM
ET: There is no error but file is not created.",False
https://discuss.huggingface.co/t/server-stuck-in-error-process-bin-sh-c-pip-install-no-cache-dir-r-tmp-requirements-txt-did-not-complete-successfully-exit-code-1/151319,API Bug (APIB),Python,Unknown,Langchain,API Limitation (AL),Crash,"BT: Clean files to force-reset a new Hugging Face space
RC: Issue in Hugging Face Spaces backend cache
ET: Throws Server Stuck in ERROR",True
https://discuss.huggingface.co/t/gradio-nameerror-name-process-user-input-is-not-defined/125979,Configuration Bug (CB),Python,Other,Langchain,Others,Crash,"BT: It works without the %%block. (Code in wrong jupyter env block)
RC: Not realted to LLM
ET: Throws NameError",True
https://discuss.huggingface.co/t/timeout-error-when-downloading-sentence-transformers-all-minilm-l6-v2/58878,Configuration Bug (CB),Python,Tools,Langchain,Incorrect or Missing Parameter Value-Missing Value (IMP.MV),Crash,"BT: Did not configure default_socket_options
RC: default_socket_options worked with default values 
ET: Throws ReadTimeout error
ER: 1. set a higher timeout of 2MB ( about 2000000 bytes)
https://github.com/huggingface/transformers/issues/12575",False
https://discuss.huggingface.co/t/text-generation-models-are-producing-incomplete-response-although-max-new-tokens-set-to-a-high-value/71724,Configuration Bug (CB),Python,Agent Core,Langchain,Incorrect or Missing Parameter Value-Incorrect Value (IMP.IV),Partial Output (PO),"BT: From the code, it is clear that HuggingFaceHub parameter misconfigured
RC:  max_length was set to a low value
ET: incomplete response or generation is stopped in the middle way.",False
https://discuss.huggingface.co/t/cant-run-janus-with-huggingfaceendpoint/144369,Availability Bug (AVB),Python,Agent Core,Langchain,API Limitation (AL),Crash,"BT: This model is not currently available via any of the supported Inference Providers.
RC: Model not available at the time of the post
ET:  500 server error",True
https://discuss.huggingface.co/t/utilizing-gpu-for-ggml-model-with-langchain/49412,Configuration Bug (CB),Python,Agent Core,Langchain,Incorrect or Missing Parameter Value-Missing Value (IMP.MV),Crash,"BT: no_cuda was not set in command line
RC: 
ET: Throws AttributeError
ER: For those encountering this where the above is not working, adding this to the arguments resolved it for me when using torchrun:
--no_cuda=True
https://github.com/pytorch/pytorch/issues/33655",False
https://discuss.huggingface.co/t/the-script-keeps-on-running-with-no-output-please-help-i-am-new-to-huggingface/50273,Model Bug (MB),Python,Agent Core,Langchain,API Limitation (AL),Indeterminate Loop (IL),"BT: From the code, it looks like the problem is the user used a heavy model with 2.85B params
RC: Used wrong LLM component for the task
ET: Script keeps on running with no output ",False
https://discuss.huggingface.co/t/langchain-and-streamlit-chatbot/67833,Argument Bug (AB),Python,Agent Core,Langchain,API Misuse-Invalid API Arguments (AM.IAA),Crash,"BT: From the code, it is clear that the user defined GPT_Helper takes prompt (string). Passed retrieved_information (docs) instead.
RC: Invalid arguments passed to generate_response
ET: Not specified",False
https://discuss.huggingface.co/t/401-client-error/143408,Configuration Bug (CB),Python,Agent Core,Langchain,Incorrect or Missing Control Flow-Missing Flow (IMCF.MF),Crash,"BT: Set this variable {HUGGINGFACEHUB_API_TOKEN=“your token”} in .env file
RC: Missed to set environment variable
ET: Throws 401 Client Error",True
https://discuss.huggingface.co/t/mistral-7b-rag-langchaing/73973,Configuration Bug (CB),Python,Tools,Langchain,Incorrect or Missing Parameter Value-Incorrect Value (IMP.IV),Incorrect Output (IO),"BT: From the code, it looks like the chunk_size is incorrectly configured (too small) 
RC: Incorrect value of chunk_size
ET: Returns incorrect answer",False
https://discuss.huggingface.co/t/no-sentence-transformers-model-found-with-name-sentence-transformers-all-minilm-l6-v2/84423,API Bug (APIB),Python,Tools,Langchain,Requirement Violation (RV),Warning,"BT: If you want to get rid of that warning, you would have to install a sentence transformer first.
RC: Sentence transformer not installed
ET: Throws no sentence transformer found",True
https://discuss.huggingface.co/t/how-to-upload-documents-to-the-supabasevectorstore/161245,System Limitation Bug (SLB),Python,Other,Langchain,Others,Crash,"BT: Need to create a table on supabase before uploading.
RC: Document not created before. Not realted to LLM.
ET: Throws Error inserting data into Supabase",True
https://discuss.huggingface.co/t/504-timeout-when-using-flan-ul2/100770,Availability Bug (AVB),Python,Agent Core,Langchain,API Limitation (AL),Crash,"BT: Model not available
RC: Wrong LLM component used
ET: Throws 504 Timeout
ER: Use this one: google/flan-t5-xxl and temperature more than 0
https://github.com/langchain-ai/langchain/issues/3275",False
https://discuss.huggingface.co/t/stopiteration-error/155463,API Bug (APIB),Python,Agent Core,Langchain,API Limitation (AL),Crash,"BT:  found out “mistralai/Mistral-7B-Instruct-v0.3” this repo word for me 
RC: Issue in the repository
ET: Throws Stopiteration error",True
https://discuss.huggingface.co/t/file-read-error-using-gradio-langchain-document-loaders-resolved/55610,Logic Bug (LB),Python,Tools,Langchain,Incorrect or Missing Control Flow-Missing Flow (IMCF.MF),Crash,"BT: From the code, it is clear that PyPDFLoader was not flushed after writing
RC: Missed flow of flusing PyPDFLoader
ET: Throws error: Cannot read an empty file",False
https://discuss.huggingface.co/t/incomplete-response-from-chatbot/48033,Model Bug (MB),Python,Agent Core,Langchain,API Limitation (AL),Partial Output (PO),"BT: From the code, it looks like the model with 2 bit quantization (small model) is causing the issue
RC: Wrom LLM component used
ET: Keeps giving incomplete responses ",True
https://discuss.huggingface.co/t/llama-2-70b-chat-hf-model-is-adding-irrelevant-topics-to-output/59329,Configuration Bug (CB),Python,Agent Core,Langchain,Component Mismatch (CM),Incorrect Output (IO),"BT: From the code, it looks like Hugging Face Inference API(LLM)  incorrectly connected with ConversationalRetrievalChain
RC: Wrong LLM (without proper wrapper) connected
ET: irrelevant topics added to the  output",False
https://discuss.huggingface.co/t/facing-issue-using-a-model-hosted-on-huggingface-server-and-talking-to-it-using-api-key/154529,API Bug (APIB),Python,Agent Core,Langchain,Requirement Violation (RV),Crash,"BT: pip install langchain-huggingface langchain
RC: Required library not installed 
ET: Throws StopIteration error",True
https://discuss.huggingface.co/t/how-to-implement-chatbot-streaming-in-gradio-with-a-function/43863,Logic Bug (LB),Python,Agent Core,LlamaIndex,API Misuse-Wrong API Context (AM.WAC),Crash,"BT:  It’s a chatbot streaming with Gradio and OpenAI api
RC: Incorrect understanding of query_engine.query return format
ET: Throws TypeError",True
https://discuss.huggingface.co/t/how-do-i-increase-max-new-tokens/43098,Argument Bug (AB),Python,Agent Core,Custom,Incorrect or Missing Parameter Value-Missing Value (IMP.MV),Crash,"BT: Passed max token in AutoConfig.from_pretrained (incorrect method)
RC: pipeline missed max_new_tokens (used default)
ET: Throws error: Input length of input_ids is 28, but max_length is set to 20.",True
https://discuss.huggingface.co/t/how-to-solve-this-problem-i-cant-implement-gradio/63706,API Bug (APIB),Python,Other,Langchain,Others,Crash,"BT:  Try to install gradio with the version of 3.45.0.
RC: Not realted to LLM agent
ET: ImportError",True
https://discuss.huggingface.co/t/valueerror-unsupported-chat-history-format/41622,Argument Bug (AB),Python,Memory,Langchain,API Misuse-Invalid API Arguments (AM.IAA),Crash,"BT: This code transforms the history into pairs of user messages and responses and passes that into qa.
RC: Expected simple list. Passed list of tuples
ET: Throws ValueError",True
https://discuss.huggingface.co/t/gradio-chat-component-ui-behaviour-only-posting-query-and-response-together/44441,Logic Bug (LB),Python,Agent Core,Langchain,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Slow Output (SO),"BT: From the code, it is clear that the user’s question is added to the chat_history afther the answer
RC: Incorrect flow of adding question after completion
ET:  Question is posted to the Chat UI late",False
https://discuss.huggingface.co/t/excluding-prompt-from-language-models-response/80696,Prompting Bug (PPB),Python,Agent Core,Langchain,Incorrect Instruction-Prompt Construction (II.PC),Incorrect Output (IO),"BT: From the code, it is clear that the prompt is not explicit enough for the task
RC:  Less detailed prompt construction
ET: The generated response includes both the requested analysis and the submitted source code of the script",False
https://discuss.huggingface.co/t/assertionerror-torch-not-compiled-with-cuda-enabled/41811,API Bug (APIB),Python,Agent Core,Langchain,Requirement Violation (RV),Crash,"BT: Incorrectly installed cuda
RC: Cuda not installed properly
ET: Throws AssertionError
ER: You don't have to install it via anaconda, you could install cuda from their website.
https://stackoverflow.com/questions/57814535/assertionerror-torch-not-compiled-with-cuda-enabled-in-spite-upgrading-to-cud",False
https://discuss.huggingface.co/t/why-i-am-getting-this-problem-while-running-any-of-the-gguf-model-instead-of-with-bin-model/58403,Configuration Bug (CB),Python,Agent Core,Langchain,Incorrect or Missing Parameter Value-Incorrect Value (IMP.IV),Crash,"BT: From the code, it is clear that CTransformers got model_type=“llama” for mistral model
RC:  Incorrect parameter value passed to model_type
ET: Throws RuntimeError: Failed to create LLM ‘llama’ from ‘models/mistral-7b-v0.1.Q2_K.gguf’.",True
https://discuss.huggingface.co/t/llama2-and-other-models-engaging-in-self-dialogue-asking-and-answering-its-own-questions/86062,Model Bug (MB),Python,Agent Core,Langchain,Component Mismatch (CM),Incorrect Output (IO),"BT: From the output, it looks like the LLM used is not designed for the task
RC: Used a conversation-tuned LLM
ET: LLM starts a self-conversation, asking itself questions",False
https://discuss.huggingface.co/t/langchain-not-changing-pipelines-model-to-llama-2-7b-hf/52843,API Bug (APIB),Python,Agent Core,Langchain,API Limitation (AL),Silent Fail (SF),"BT: The issue is in the Langchain library
RC: Bug in the library
ET: Silently loades GPT2 model
ER: Still seeing this issue as of langchain 0.0.262
https://github.com/langchain-ai/langchain/issues/3451",False
https://discuss.huggingface.co/t/im-having-an-error-message-working-with-my-user-access-tokens/48294,Configuration Bug (CB),Python,Agent Core,Langchain,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Crash,"BT: I created the env. and placed the token in it
RC: Missed flow in the env
ET: Throws ValueError",True
https://discuss.huggingface.co/t/cannot-get-my-access-token-to-work-please-help/51345,Availability Bug (AVB),Python,Other,Langchain,Others,Crash,"BT: After getting authorized by Meta you also need to get authorization by HF 
RC: User does not have access to the model. 
ET: Throws HTTP 403 error.",True
https://discuss.huggingface.co/t/ssl-error-max-retries/69360,System Limitation Bug (SLB),Python,Other,Langchain,Others,Crash,"BT: Downloaded the ROOT_CA on my company laptop
RC: Not related to the LLM. User's issue.
ET: Throws SSLError",True
