URL,Bug Type,Language,Component,Root Cause,Effect,Framework,Rational,File ,Code Before Change,Code After Change
https://github.com/Undertone0809/promptulate/commit/43dc8fb3435090a6798f1234215a967e4e52186d,Logic Bug (LB),Python,Unknown,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Unknown (UN),Langchain,"BT: File path format is incorrect. 
RC: Incorrect flow of executing code
ET: Not specified in the commit",Makefile,poetry run pytest -c pyproject.toml --cov-report=html --cov=promptulate .\tests\test_chat.py .\tests\output_formatter\,poetry run pytest -c pyproject.toml --cov-report=html --cov=promptulate ./tests/test_chat.py ./tests/output_formatter
https://github.com/argilla-io/argilla/commit/dcafd79f02715abf9ba492ae8fd7dcc0173e3107,API Bug (APIB),Python,Tools,API Misuse-Wrong API Context (AM.WAC),Unknown (UN),Langchain,"BT: Wrong API used 
RC: Failed to understand the task of require_dependencies
ET: The bug is non-beraking. However, no further details is provided",,"from argilla.utils.dependency import require_dependency

require_dependency(""sentence-transformers"")","from argilla.utils.dependency import require_dependencies
require_dependencies(""sentence-transformers"")"
https://github.com/jina-ai/langchain-serve/commit/471830bdac8de01515c357c2a886a2f2255b5ec0,API Bug (APIB),Python,Agent Core,Requirement Violation (RV),Crash (CR),Langchain,"BT: API is not compatable with different langchain version
RC: The requriement for langchain version is not fixed. 
ET: This issue throws ImportError",hitl.py,from langchain.callbacks.manager import CallbackManager,"try:
    from langchain.callbacks.manager import CallbackManager
except ImportError:
    from langchain.callbacks import CallbackManager"
https://github.com/BerriAI/litellm/commit/a76d9919521e0723b412e222fa0359d91f80f994#diff-7246c7aef349bfce6c1fc341bde2fcbcecd621447483e2626d1b7d1ecc0a8d56L76-R1358,Logic Bug (LB),Python,Tools,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Crash (CR),Langchain,"BT: Logical issue of accessing key-value object
RC: Incorrect flow of accessing parameter value
ET: If mode is not present, it will throw KeyError",,"received_model = cast(OpenAIRealtimeStreamSessionEvents, result)[""session""][
                ""model""
            ]","received_model = cast(OpenAIRealtimeStreamSessionEvents, result)[
                ""session""
            ].get(""model"", None)"
https://github.com/activeloopai/deeplake/commit/eb4cd3054a082126d13dd6a9330e74ef0109ac49,Logic Bug (LB),Python,Unknown,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Unknown (UN),Langchain,"BT: The old code assumes x is always a valid path which may not work for all cases
RC: Did not work with the realtive path.
ET: Not specified in the comment",dataset.py,enabled_tensors.extend(self[x].meta.links.keys()),"enabled_tensors.extend(
                        self[posixpath.relpath(x, self.group_index)].meta.links.keys()
                    )"
https://github.com/activeloopai/deeplake/commit/623f9038cf933a909de586c19d15f96179ae9c30,Configuration Bug (CB),Python,Unknown,Incorrect or Missing Parameter Value-Missing Value (IMP.MV),Unknown (UN),Langchain,"BT: Not configured ContainerSasPermissions correctly
RC: Did not pass values of create and add 
ET: Not specified in the commit",azure.py,"permission=ContainerSasPermissions(
                read=True, write=True, delete=True, list=True
            )","permission=ContainerSasPermissions(
                read=True, write=True, delete=True, list=True, create=True, add=True
            )"
https://github.com/activeloopai/deeplake/commit/623f9038cf933a909de586c19d15f96179ae9c30,Configuration Bug (CB),Python,Unknown,Incorrect or Missing Parameter Value-Incorrect Value (IMP.IV),Unknown (UN),Langchain,"BT: get_blob_client parameter misconfigured. 
RC: Passed incorrect file path. 
ET: Not specified in the commit message. ",azure.py,source_blob = self.container_client.get_blob_client(blob_name)," source_blob = self.container_client.get_blob_client(
                f""{self.root_folder}/{blob_name}""
            )"
https://github.com/TensorOpsAI/LLMstudio/commit/7ad9c7eaf9f06468bdb4dc925facb922c89bd378,Configuration Bug (CB),Python,Unknown,Incorrect or Missing Parameter Value-Missing Value (IMP.MV),Unknown (UN),Langchain,"BT: agenerate_client parameter misconfigured.
RC: agenerate_client did not get request parameter
ET: Not specified in commit",provider.py,return self.selected_model.agenerate_client(), return await self.selected_model.agenerate_client(request)
https://github.com/argilla-io/argilla/commit/1a3805ad6fe229dfa53b898c901ae5d36a95bdef,Initialization Bug (IB),Python,Unknown,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Silent Fail (SF),Langchain,"BT: Title string initialized incorrectly
RC: Typeo in the name of variable
ET: No variable substituted ",es.js,"title: ""Bienvenido a {Space}"",","title: ""Bienvenido a {space}"""
https://github.com/intel/ipex-llm/commit/7d27f134ddd094ef49b3dd71487261c452d46056,Logic Bug (LB),Python,Unknown,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Unknown (UN),Langchain,"BT: Logical condition incorrect
RC: Incorrect logical check
ET: Not specified in the commit","convert.py
",if past_key_values is not None: ," if past_key_values and isinstance(past_key_values, bool):  "
https://github.com/intel/ipex-llm/commit/7d27f134ddd094ef49b3dd71487261c452d46056,Logic Bug (LB),Python,Unknown,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Unknown (UN),Langchain,"BT: Incorrect data format returned 
RC: Incorrect type of variable passed for past_key_values
ET: Not specified in the commit","convert.py
","return CausalLMOutputWithPast(
        loss=None,
        logits=logits,
        past_key_values=1,  # just an indicator
        hidden_states=None,
        attentions=None,
    )","return CausalLMOutputWithPast(
        loss=None,
        logits=logits,
        past_key_values=True,  # just an indicator
        hidden_states=None,
        attentions=None,
    )"
https://github.com/intel/ipex-llm/commit/52863dd5670bbab341b44f721693c94a58140c94,Configuration Bug (CB),Python,Unknown,Incorrect or Missing Parameter Value-Incorrect Value (IMP.IV),Crash (CR),Langchain,"BT: Payload configured with incoorect value
RC: model parameter recieved incorrect value
ET: Not specified in the commit ",vllm_online_benchmark.py,"payload = {
                    ""model"": model_name,
                    ""prompt"": prompt,
                    ""n"": 1,
                    ""best_of"": 1,
                    ""use_beam_search"": False,
                    ""temperature"": 0.0,
                    ""top_p"": 1.0,
                    ""max_tokens"": max_tokens,
                    ""ignore_eos"": True,
                    ""stream"": True  # 开启streaming模式
                }","payload = {
                    ""model"": model,
                    ""prompt"": prompt,
                    ""n"": 1,
                    ""best_of"": 1,
                    ""use_beam_search"": False,
                    ""temperature"": 0.0,
                    ""top_p"": 1.0,
                    ""max_tokens"": max_tokens,
                    ""ignore_eos"": True,
                    ""stream"": True  # 开启streaming模式
                }"
https://github.com/shamspias/customizable-gpt-chatbot/commit/b98b8dd0f95ad5082840974aec6ed1aa427452da,Initialization Bug (IB),Python,Unknown,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Crash (CR),Langchain,"BT: Name of the class incorrectly initialized
RC: Tried to access an undefined variable
ET: It should throw NameError for incorrect variable name",models.py,"def __str__(self):
        return f""Conversation {self.title} - {self.user.username}""","def __str__(self):
        return f""Conversation {self.title} - {self.user.name}"""
https://github.com/51bitquant/ai-hedge-fund-crypto/commit/2b796e1182764d6349915fbc20358096af035b30,Reference Bug (RB),Python,Unknown,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Crash (CR),Langchain,"BT: Incorrect reference of Backtester module
RC: Incorrect import
ET: It should throw ModuleNotFoundError for incorrectly importing ",backtest.py,from src.backtester import Backtester,from src.backtester.backtester import Backtester
https://github.com/finaldie/auto-news/commit/8d9611136fd64490a877ae00270cc36aed3369ac,Logic Bug (LB),Python,Tools,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Unknown (UN),Langchain,"BT: Returned output format is incorrect
RC: Returned incorrect format output
ET: Not specified in the commit ",notion.py,"return self.createPage(parent, props, None)","return self.createPage(parent, props, [])"
https://github.com/linjungz/chat-with-your-doc/commit/a5e9d6e9ecbcccf2196a20de17767babd5b7d8bb,Configuration Bug (CB),Python,Tools,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Unknown (UN),Langchain,"BT: VECTORDB_PATH was incorrect (both path and path format)
RC: Incorrect format of path. 
ET: Not mentioned in the commit ",chat_cli.py,"VECTORDB_PATH = int(os.getenv(""VECTORDB_PATH""))","VECTORDB_PATH = os.getenv(""VECTORDB_PATH"")"
https://github.com/thiswillbeyourgithub/wdoc/commit/528878782a460c3a48f023463dbb629f72ee4f3b#diff-f0b792d7cb9c67f67a110068d5251080d2866455beb5783cfbcb3fe563ebd62fR1562-R1652,Configuration Bug (CB),Python,Unknown,Incorrect or Missing Parameter Value-Incorrect Value (IMP.IV),Unknown (UN),Langchain,"BT: Incorrect data passed to yel funciton
RC: Passed incorrect parameter value 
ET: Not speciified",WDoc.py,"yel(f""Tokens used by strong model to combine the intermediate answers: ${combine_cost:.1f}"")","yel(f""Tokens used by strong model to combine the intermediate answers: ${combine_cost:.5f}"")"
https://github.com/vtuber-plan/langport/commit/24923df4831fd5cfcc5855b8552a48ef2729c4c7#diff-5fa876287ef1b64a5e58bb56ac234a91c4318fd562a04cc002090a1502d0b333L343,Configuration Bug (CB),Python,Agent Core,Incorrect or Missing Parameter Value-Missing Value (IMP.MV),Unknown (UN),Langchain,"BT: Method invoked without passing all parameters requried
RC: from_config missing one parameter
ET: Not specified",compression.py,model: nn.Module = AutoModelForCausalLM.from_config(config),"model: nn.Module = AutoModelForCausalLM.from_config(config, trust_remote_code=trust_remote_code)"
https://github.com/vtuber-plan/langport/commit/24923df4831fd5cfcc5855b8552a48ef2729c4c7#diff-af68e7b24ff5faa709d1eeebb326b60f5e9ae56e0980c8fb12d5a3ccbb7afc2eL114-L178,Configuration Bug (CB),Python,Unknown,Incorrect or Missing Parameter Value-Missing Value (IMP.MV),Unknown (UN),Langchain,"BT:AutoConfig.from_pretrained function called without proper parameters
RC: trust_remote_code parameter not passed 
ET: Not specified ",huggingface.py,config = AutoConfig.from_pretrained(model_path),"trust_remote_code = from_pretrained_kwargs.get(""trust_remote_code"", False)
config = AutoConfig.from_pretrained(model_path, trust_remote_code=trust_remote_code)"
https://github.com/BerriAI/litellm/commit/5ff6db50627b62e160b5c8022a9ab136d0e3f9a3#diff-2823e3ca4804c9596e38dde93bc4606471ec467c223de4fb66a70152181f061cR95-R1811,API Bug (APIB),Python,Agent Core,API Misuse-Wrong API Context (AM.WAC),Unknown (UN),Langchain,"BT: Incorrect API invoded
RC: Incorrect understanding about the usage of ChatCompletionUsageBlock
ET: Not specified in the commit",vertex_and_google_ai_studio_gemini.py,"usage = ChatCompletionUsageBlock(
                
                    prompt_tokens=processed_chunk[""usageMetadata""].get(
                        ""promptTokenCount"", 0
                    ),","
                usage = Usage(
                    prompt_tokens=processed_chunk[""usageMetadata""].get(
                        ""promptTokenCount"", 0
                    ),"
https://github.com/argilla-io/argilla/commit/df56c154e2b5c3bfacb961c99c7aa380ad1734c9#diff-f1b89b7b9d7c8c68712ce8a2d707f1de2133622f50eba5b59076d84050c753acL29-R31,Argument Bug (AB),Python,Unknown,API Misuse-Invalid API Arguments (AM.IAA),Unknown (UN),Langchain,"BT: _get_filed got incorrect parameter type
RC: db received incorrect data. Expected AsyncSession, passed string
ET: Commit message says non-breakig bug. But not specified. ",fields.py,"async def _get_field(db: ""AsyncSession"", field_id: UUID) -> ""Field"":","async def _get_field(db: AsyncSession, field_id: UUID) -> Field:"
https://github.com/finaldie/auto-news/commit/d08e6a3af3c4197d0fb509b3c495c2821b9ee3fe#diff-38409764c1bb561561fe28a73f7913e2abd2ce9035f9743ccc4d47cf8fc875b4R67-R68,Initialization Bug (IB),Python,Agent Core,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Crash (CR),Langchain,"BT: Class not inittialized properly if api_key and model_name not provided
RC: Class initialization flow incorrect if parameter value not provided
ET: If user initializes the class without providing attributes like model_name, it would throw openai InvalidRequestError",llm_agent.py,"def __init__(self, api_key, model_name):","def __init__(self, api_key="""", model_name=""gpt-3.5-turbo""):"
https://github.com/georgia-tech-db/evadb/commit/05132846f27bae56fbcd7d147a7611ad550beea6#diff-64a1de9a45cb740cc4a969dacbf14c294549a19184aa943dd5f01b4ff38bb060R16,Logic Bug (LB),Python,Unknown,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Unknown (UN),Langchain,"BT: Incorrect logical command 
RC: Incorrect attribute asked to drop 
ET: Not specified",text_summarization_with_evadb.py,"cursor.query(""DROP UDF IF EXISTS TextSummarizer;"").df()","cursor.query(""DROP FUNCTION IF EXISTS TextSummarizer;"").df()"
https://github.com/thiswillbeyourgithub/wdoc/commit/e27d9f8f65209f5f818c3bb07173e43c145999fc,Logic Bug (LB),Python,Unknown,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Unknown (UN),Langchain,"BT: Incorect logical statement check
RC: Logical flow incorrect
ET: Not specified ",loaders.py,"if ph == ""tags"":"," if ph == ""tags"" or ph == ""allfields"":"
https://github.com/kyegomez/swarms/commit/490e2783856c2ee89e7e739701529bb79a778d89#diff-d037d22d84457b481f0567da108b3fa3a2edf9866d59089d57a5854a96562096R3,Initialization Bug (IB),Python,Other,Others,Unknown (UN),Langchain,"BT: Incorrectly re-initialized logger
RC: Logger not directly connected to agent
ET: Not specified ",loguru_logger.py,"logger = logger.add(
    ""MessagePool.log"",
    level=""INFO"",
    colorize=True,)","logger.add(
    ""MessagePool.log"",
    level=""INFO"",
    colorize=True,)"
https://github.com/thiswillbeyourgithub/wdoc/commit/95595fe1f9b7e5156792bfa092f0b2b68c0832a4,Initialization Bug (IB),Python,Unknown,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Unknown (UN),Langchain,"BT: Incorrectly initialized h variable 
RC: h variable constraction logi error
ET: Not specified",misc.py, h = hashlib.sha256(f.read() + str(instruct)).hexdigest()[:15],h = hashlib.sha256(f.read() + str(self.model)).hexdigest()[:15]
https://github.com/thedigitalworkplace/Autogen/commit/1ba7a681a93a1308e608dcfedee2f29a6dab4a76#diff-e5e45bd0c38c1fd4a21ca55a40b0df2161922f15d285de1bdadbe7d110aa109fR446-R458,Logic Bug (LB),Python,Agent Core,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Resource Overuse (RO),Autogen,"BT: Indentation logic incorrect
RC: Component written in incorrect logical block
ET: Each responses will be called mutiple times, taking significant resources",_worker_runtime.py," for agent_id in recipients:
            # TODO: avoid sending to the sender.
            message_context = MessageContext(
                sender=None,
                topic_id=topic_id,
                is_rpc=False,
                cancellation_token=CancellationToken(),
            )
            agent = await self._get_agent(agent_id)
            with MessageHandlerContext.populate_context(agent.id):

                async def send_message(agent: Agent, message_context: MessageContext) -> Any:
                    with trace_block(self._tracer, ""process"", agent.id, parent=event.metadata):
                        await agent.on_message(message, ctx=message_context)

                future = send_message(agent, message_context)
            responses.append(future)
            # Wait for all responses.
            try:
                await asyncio.gather(*responses)
            except BaseException as e:
                logger.error(""Error handling event"", exc_info=e)","        for agent_id in recipients:
            # TODO: avoid sending to the sender.
            message_context = MessageContext(
                sender=None,
                topic_id=topic_id,
                is_rpc=False,
                cancellation_token=CancellationToken(),
            )
            agent = await self._get_agent(agent_id)
            with MessageHandlerContext.populate_context(agent.id):

                async def send_message(agent: Agent, message_context: MessageContext) -> Any:
                    with trace_block(self._tracer, ""process"", agent.id, parent=event.metadata):
                        await agent.on_message(message, ctx=message_context)

                future = send_message(agent, message_context)
            responses.append(future)
        # Wait for all responses.
        try:
            await asyncio.gather(*responses)
        except BaseException as e:
            logger.error(""Error handling event"", exc_info=e)"
https://github.com/thedigitalworkplace/Autogen/commit/8c56cc7d8092711514efc5bb32964bb1844414ba,Reference Bug (RB),Python,Agent Core,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Crash (CR),Autogen,"BT: Module reffered from incorrect pacakge
RC: Incorrect import statement
ET: Incorrect import should throw ImportError",llamaindex_conversable_agent.py,from llama_index_client import ChatMessage,from llama_index.core.base.llms.types import ChatMessage
https://github.com/thedigitalworkplace/Autogen/commit/2191b3144bff133f858fdd90f1acb8149ba8be38,Logic Bug (LB),Python,Tools,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Slow Output (SO),Autogen,"BT: Logically incorrect async code 
RC: Incorrect async logic. Called await twice
ET: asyncio.gather will be a redundent call which will slow the response",coding_one_agent_direct.py,"results: List[ToolExecutionTaskResult] = await asyncio.gather(
                *[await self.send_message(ToolExecutionTask(function_call=call), self.id) for call in response.content]
            )","results: List[ToolExecutionTaskResult] = await asyncio.gather(
                *[self.send_message(ToolExecutionTask(function_call=call), self.id) for call in response.content]
            )"
https://github.com/thedigitalworkplace/Autogen/commit/ecbc3b7806a931a1b5bb4e185ef50c41e3b9bc5e,Argument Bug (AB),Python,Agent Core,API Misuse-Invalid API Arguments (AM.IAA),Unknown (UN),Autogen,"BT: send_message method got incorrect parameter
RC: send_message got incorrect parameter
ET: Not specified in the commit",patterns.py,"response = runtime.send_message(ChatMessage(body=message, sender=""host""), chat)","response = runtime.send_message(TextMessage(content=message, source=""host""), chat)"
https://github.com/thedigitalworkplace/Autogen/commit/ecbc3b7806a931a1b5bb4e185ef50c41e3b9bc5e,Configuration Bug (CB),Python,Unknown,API Misuse-Invalid API Arguments (AM.IAA),Unknown (UN),Autogen,"BT: _rewrite_plan method was configured incorrectly
RC: _rewrite_plan had incorrect value in the second parameter
ET: Not specified ",orchestrator.py,"plan = await self._rewrite_plan(team, ledger, message.sender)","plan = await self._rewrite_plan(team, ledger, message.source)"
https://github.com/NeoRyang/autogen-websockets/commit/f8dd10df87d061ec690d55ee233dcc93b693f893#diff-1ebfaf6cb3592166b73835fa82333cb7109e7c624865c0039a7b22ff34aa27faR6-R10,Configuration Bug (CB),Python,Agent Core,Incorrect or Missing Parameter Value-Incorrect Value (IMP.IV),Silent Fail (SF),Autogen,"BT: websockets.client configured incorrectly
RC: websockets.client was connected with incorrect url
ET: Client would be waiting in incorrect endpoint",client.py,"uri = ""ws://localhost:8000/ws/1234""  # Use your server URI here
    async with websockets.connect(uri) as websocket:
        while True:
            print(""waiting for message"")","    uri = ""ws://localhost:8000/ws/1234""  # Use your server URI here
    async with websockets.connect(uri) as websocket:
        while True:
            print(""waiting for message"")"
https://github.com/thedigitalworkplace/Autogen/commit/306541e2472e8c207c2c053cc4ea5b1aeef3e332#diff-c7ed1a879243499c41f5cdda7260c2a10bee37e5bc47c2d22a870d2a15ecc621R91-R102,Logic Bug (LB),Python,Unknown,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Crash (CR),Autogen,"BT: Boolean value comparison logic incorrect
RC: Condition check logic incorrectly implemented
ET: Should throw false AssertionError",test_routed_agent.py," assert agent.handler_one_called == True
    assert agent.handler_two_called == False"," assert agent.handler_one_called is False
    assert agent.handler_two_called is False"
https://github.com/thedigitalworkplace/Autogen/commit/52c2a70e95df2006e0094e96ad192243148ec4bb#diff-69674b8fc2c1b1953ec74ed41455677cb545eb81677fcd85db96f47f60d1b28fR22-R68,Prompting Bug (PPB),Python,Agent Core,Incorrect Instruction-Prompt Specification (II.PS),Incorrect Output (IO),Autogen,"BT:  Prompt lacks system instructions
RC: Prompt lacks system message
ET: Agent will retrun output without following the system prompt",main.py,"input_messages=(await self._model_context.get_messages()),","input_messages=self._system_messages + (await self._model_context.get_messages()),"
https://github.com/thedigitalworkplace/Autogen/commit/d941a0a733499aee22165df845c7514ff57f5952#diff-a1f9eead4a154ae59a201dcc7a75d85c6ff70ec37ea726f304e3ff590639bcb8R15-R56,Configuration Bug (CB),Python,Agent Core,Incorrect or Missing Parameter Value-Incorrect Value (IMP.IV),Incorrect Output (IO),Autogen,"BT: ChatMessage parameter misconfiguration
RC: ChatMessage called with incorrect parameter value
ET: returns incorrect response",patterns.py,"response = runtime.send_message(ChatMessage(body=""Run a show!"", sender=""external""), chat)","response = runtime.send_message(ChatMessage(body=message, sender=""host""), chat)"
https://github.com/thedigitalworkplace/Autogen/commit/d941a0a733499aee22165df845c7514ff57f5952#diff-a1f9eead4a154ae59a201dcc7a75d85c6ff70ec37ea726f304e3ff590639bcb8L105,Configuration Bug (CB),Python,Agent Core,Incorrect or Missing Parameter Value-Incorrect Value (IMP.IV),Incorrect Output (IO),Autogen,"BT: ChatMessage parameter misconfiguration
RC: ChatMessage called with incorrect (predefined) parameter value
ET: returns incorrect response",patterns.py,"response = runtime.send_message(
        ChatMessage(
            body=""Write a simple FastAPI webapp for showing the current time."",
            sender=""customer"",
        ),
        chat,
    )","response = runtime.send_message(
        ChatMessage(
            body=message,
            sender=""customer"",
        ),
        chat,
    )"
https://github.com/thedigitalworkplace/Autogen/commit/508d2665f9dc85db8833e5ddba7576fcc1974688#diff-7e1e6bfc49ab6dff4b52ba5677edcda6aff4ae436001c46cecd45847d4d71caeR140,Logic Bug (LB),Python,Unknown,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Silent Fail (SF),Autogen,"BT: Buggy logic for writing in file
RC: Incorrectly handled the file writing code
ET: The code executes perfectly but the output is not flushed into the file",local_commandline_code_executor.py,"written_file = (self._work_dir / filename).resolve()
written_file.open(""w"", encoding=""utf-8"").write(code)","written_file = (self._work_dir / filename).resolve()
with written_file.open(""w"", encoding=""utf-8"") as f:
    f.write(code)"
https://github.com/thedigitalworkplace/Autogen/commit/7cfcf5501f8a1aa033257dc85e6aca29f954cb68#diff-abb1d050329eb20452af099582df3efa9bd5ccb69b02a0a57daf26e911159d31R425,Logic Bug (LB),Python,Planning,Incorrect or Missing Control Flow-Missing Flow (IMCF.MF),Incorrect Output (IO),Autogen,"BT: Not  complete prompt passed in the message. And tools are not filtered for the call. 
RC: Filtering logic missing
ET: The agent will produce output without complete message and filtered tools ",cohere.py,"new_message = {
                ""role"": ""CHATBOT"",
                ""message"": message[""content""],
                ""tool_calls"": [
                    {
                        ""name"": tool_call_.get(""function"", {}).get(""name""),
                        ""parameters"": json.loads(tool_call_.get(""function"", {}).get(""arguments"") or ""null""),
                    }
                    for tool_call_ in message[""tool_calls""]
                ],
}","message_tool_calls = []
            for tool_call in message[""tool_calls""] or []:
                if (not tool_call.get(""function"", {}).get(""name"")) or tool_call.get(""function"", {}).get(
                    ""name""
                ) not in cohere_tool_names:
                    new_message = {
                        ""role"": ""CHATBOT"",
                        ""message"": message.get(""name"") + "":"" + message[""content""] + str(message[""tool_calls""]),
                    }
                    cohere_messages.append(new_message)
                    continue

                tool_calls.append(tool_call)
                message_tool_calls.append(
                    {
                        ""name"": tool_call.get(""function"", {}).get(""name""),
                        ""parameters"": json.loads(tool_call.get(""function"", {}).get(""arguments"") or ""null""),
                    }
                )

            if not message_tool_calls:
                continue

new_message = {
                ""role"": ""CHATBOT"",
                ""message"": message.get(""name"") + "":"" + message[""content""],
                ""tool_calls"": message_tool_calls,
            }"
https://github.com/thedigitalworkplace/Autogen/commit/1b8d65df0a54354b5fec152f9aa4162827a7fb2d#diff-d6a579a37b549deac1aa465a82821986f69c9f06ddbc16f14e313a9b7389b707R11-R33,Initialization Bug (IB),Python,Unknown,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Crash (CR),Autogen,"BT: test_dir incorrectly provided
RC: Incorrect file path provided
ET: It should throw FileNotFound error",test_pgvector_retrievechat.py,"test_dir = os.path.join(os.path.dirname(__file__), ""../.."", ""test_files"")","test_dir = os.path.join(os.path.dirname(__file__), ""../../.."", ""test_files"")"
